valuationdate,revenues,ebit,depreciation,capex,ncwc,bv,y
30/06/2019,39727.022,4280.224,1628.02,2014.882,7417.926,10669.667,93454.27217
30/09/2017,178641.24,28738.934,3689.151,1538.071,-65501.004,126739.5,271809.6652
31/12/2011,257953.5,22654.00897,12832.1,15683.8,13880.3,48405.2,458078.241
30/06/2010,176233.0,38096.70114,25278.7,44168.9,18494.502,190439.5,443270.1
30/06/2017,47264.752,6132.682,1900.271,1229.714,5358.822,22199.485,49282.20291
31/03/2011,181429.1,88495.78225,5277.0,4574.8,496483.1,218404.7,559624.3
31/12/2016,96012.3,8167.497011,3073.49,7011.0,20760.2,37076.346,187223.985
31/03/2011,95681.9,15134.45485,4544.9,5648.3,3840.0,32985.3,239416.7
30/09/2019,110926.491,10262.69,2654.378,5959.704,23454.185,56031.336,221027.1333
30/06/2017,852621.129,43214.0,19427.31,19352.809,19086.895,122708.926,632685.4107
30/09/2011,99370.3,14335.46516,3534.0,2689.2,25936.8,49804.2,174204.2
31/12/2018,139453.4329,8799.511615,8361.22,6042.9,18742.54138,143311.756,900869.1764
31/03/2011,169024.8,12671.3061,5462.0,11995.7,29388.2,41082.1,140149.7
30/09/2009,497326.8,49960.97644,10625.8,14313.3,51604.5,130349.7,551296.4
